DCid	species	factor	factor_type	GSM	GSE	cellLine	CellType	Tissue	res_path	res_size	narrowPeak	peakXls	bigwig	summit	RP	X5foldPeakRP	json	bam	TreatOrControlReplicates	ReadLength	FastQC	RawReadsNumber	UniquelyMappedReadsNumber	UniquelyMappedRatio	PBC	FRiP	PeaksNumber	PeaksFoldChange..10	PeaksFoldChange..20	FragmentSize	ChIPReplicatesPairwiseLabels	ReplicatesOverlapRatio	ReplicatesWigCorrelation	MergedPeaksNumber	MergedPeaksFoldChange..10	MergedPeaksFoldChange..20	MergedPeaksPromoterPercentage	MergedPeaksExonPercentage	MergedPeaksIntronPercentage	MergedPeaksIntergenicPercentage	MergedPeaksUnionDHSRatio
1798	Homo_sapiens	DNase	ca	GSM530666	GSE18927	IMR90	Fibroblast	Lung	/liulab-iris/Cistrome/CistromeDB/processed_data/data5_Result_new/Result_new/dataset1798	284M	/liulab-iris/Cistrome/CistromeDB/processed_data/data5_Result_new/Result_new/dataset1798/1798_sort_peaks.narrowPeak.bed	/liulab-iris/Cistrome/CistromeDB/processed_data/data5_Result_new/Result_new/dataset1798/1798_peaks.xls	/liulab-iris/Cistrome/CistromeDB/processed_data/data5_Result_new/Result_new/dataset1798/1798_treat.bw	/liulab-iris/Cistrome/CistromeDB/processed_data/data5_Result_new/Result_new/dataset1798/1798_sort_summits.bed	/liulab-iris/Cistrome/CistromeDB/processed_data/data5_Result_new/Result_new/dataset1798/attic/1798_gene_score.txt	/liulab-iris/Cistrome/CistromeDB/processed_data/data5_Result_new/Result_new/dataset1798/attic/1798_gene_score_5fold.txt	/liulab-iris/Cistrome/CistromeDB/processed_data/data5_Result_new/Result_new/dataset1798/attic/json	NA	1798_treat_rep1	36	30	73530067	46740655	0.6357	0.963	0.4083595	142619	56955	6221	57	NA	NA	NA	142619	56955	6221	0.082411256	0.05119636	0.449056392	0.417335992	0.9788
1799	Homo_sapiens	DNase	ca	GSM530665	GSE18927	IMR90	Fibroblast	Lung	/liulab-iris/Cistrome/CistromeDB/processed_data/data5_Result_new/Result_new/dataset1799	386M	/liulab-iris/Cistrome/CistromeDB/processed_data/data5_Result_new/Result_new/dataset1799/1799_sort_peaks.narrowPeak.bed	/liulab-iris/Cistrome/CistromeDB/processed_data/data5_Result_new/Result_new/dataset1799/1799_peaks.xls	/liulab-iris/Cistrome/CistromeDB/processed_data/data5_Result_new/Result_new/dataset1799/1799_treat.bw	/liulab-iris/Cistrome/CistromeDB/processed_data/data5_Result_new/Result_new/dataset1799/1799_sort_summits.bed	/liulab-iris/Cistrome/CistromeDB/processed_data/data5_Result_new/Result_new/dataset1799/attic/1799_gene_score.txt	/liulab-iris/Cistrome/CistromeDB/processed_data/data5_Result_new/Result_new/dataset1799/attic/1799_gene_score_5fold.txt	/liulab-iris/Cistrome/CistromeDB/processed_data/data5_Result_new/Result_new/dataset1799/attic/json	NA	1799_treat_rep1	36	29	94771929	61926022	0.6534	0.955	0.4879095	175446	68628	7938	58	NA	NA	NA	175446	68628	7938	0.072745329	0.048409374	0.458958759	0.419886539	0.982
1800	Homo_sapiens	DNase	ca	GSM468801	GSE18927	IMR90	Fibroblast	Lung	/liulab-iris/Cistrome/CistromeDB/processed_data/data5_Result_new/Result_new/dataset1800	216M	/liulab-iris/Cistrome/CistromeDB/processed_data/data5_Result_new/Result_new/dataset1800/1800_sort_peaks.narrowPeak.bed	/liulab-iris/Cistrome/CistromeDB/processed_data/data5_Result_new/Result_new/dataset1800/1800_peaks.xls	/liulab-iris/Cistrome/CistromeDB/processed_data/data5_Result_new/Result_new/dataset1800/1800_treat.bw	/liulab-iris/Cistrome/CistromeDB/processed_data/data5_Result_new/Result_new/dataset1800/1800_sort_summits.bed	/liulab-iris/Cistrome/CistromeDB/processed_data/data5_Result_new/Result_new/dataset1800/attic/1800_gene_score.txt	/liulab-iris/Cistrome/CistromeDB/processed_data/data5_Result_new/Result_new/dataset1800/attic/1800_gene_score_5fold.txt	/liulab-iris/Cistrome/CistromeDB/processed_data/data5_Result_new/Result_new/dataset1800/attic/json	NA	1800_treat_rep1	36	30	42490601	27326968	0.6431	0.977	0.27829375	111261	37917	1874	61	NA	NA	NA	111261	37917	1874	0.097355726	0.05249847	0.436476221	0.413669583	0.9786
1801	Homo_sapiens	DNase	ca	GSM468792	GSE18927	IMR90	Fibroblast	Lung	/liulab-iris/Cistrome/CistromeDB/processed_data/data5_Result_new/Result_new/dataset1801	236M	/liulab-iris/Cistrome/CistromeDB/processed_data/data5_Result_new/Result_new/dataset1801/1801_sort_peaks.narrowPeak.bed	/liulab-iris/Cistrome/CistromeDB/processed_data/data5_Result_new/Result_new/dataset1801/1801_peaks.xls	/liulab-iris/Cistrome/CistromeDB/processed_data/data5_Result_new/Result_new/dataset1801/1801_treat.bw	/liulab-iris/Cistrome/CistromeDB/processed_data/data5_Result_new/Result_new/dataset1801/1801_sort_summits.bed	/liulab-iris/Cistrome/CistromeDB/processed_data/data5_Result_new/Result_new/dataset1801/attic/1801_gene_score.txt	/liulab-iris/Cistrome/CistromeDB/processed_data/data5_Result_new/Result_new/dataset1801/attic/1801_gene_score_5fold.txt	/liulab-iris/Cistrome/CistromeDB/processed_data/data5_Result_new/Result_new/dataset1801/attic/json	NA	1801_treat_rep1	36	30	48685816	30592364	0.6284	0.976	0.29439175	120149	41078	2298	62	NA	NA	NA	120149	41078	2298	0.089101896	0.048501771	0.445676183	0.41672015	0.9788
1890	Homo_sapiens	DNase	ca	GSM665801	GSE18927	iPS_DF_19.11	iPSC	Foreskin	/liulab-iris/Cistrome/CistromeDB/processed_data/data5_Result_new/Result_new/dataset1890	205M	/liulab-iris/Cistrome/CistromeDB/processed_data/data5_Result_new/Result_new/dataset1890/1890_sort_peaks.narrowPeak.bed	/liulab-iris/Cistrome/CistromeDB/processed_data/data5_Result_new/Result_new/dataset1890/1890_peaks.xls	/liulab-iris/Cistrome/CistromeDB/processed_data/data5_Result_new/Result_new/dataset1890/1890_treat.bw	/liulab-iris/Cistrome/CistromeDB/processed_data/data5_Result_new/Result_new/dataset1890/1890_sort_summits.bed	/liulab-iris/Cistrome/CistromeDB/processed_data/data5_Result_new/Result_new/dataset1890/attic/1890_gene_score.txt	/liulab-iris/Cistrome/CistromeDB/processed_data/data5_Result_new/Result_new/dataset1890/attic/1890_gene_score_5fold.txt	/liulab-iris/Cistrome/CistromeDB/processed_data/data5_Result_new/Result_new/dataset1890/attic/json	NA	1890_treat_rep1	36	36	32932304	25031485	0.7601	0.983	0.2387815	117982	32068	840	60	NA	NA	NA	117982	32068	840	0.111840877	0.067834292	0.364832069	0.455492762	0.9744
1898	Homo_sapiens	DNase	ca	GSM665800	GSE18927	iPS_DF_19.7	iPSC	None	/liulab-iris/Cistrome/CistromeDB/processed_data/data5_Result_new/Result_new/dataset1898	192M	/liulab-iris/Cistrome/CistromeDB/processed_data/data5_Result_new/Result_new/dataset1898/1898_sort_peaks.narrowPeak.bed	/liulab-iris/Cistrome/CistromeDB/processed_data/data5_Result_new/Result_new/dataset1898/1898_peaks.xls	/liulab-iris/Cistrome/CistromeDB/processed_data/data5_Result_new/Result_new/dataset1898/1898_treat.bw	/liulab-iris/Cistrome/CistromeDB/processed_data/data5_Result_new/Result_new/dataset1898/1898_sort_summits.bed	/liulab-iris/Cistrome/CistromeDB/processed_data/data5_Result_new/Result_new/dataset1898/attic/1898_gene_score.txt	/liulab-iris/Cistrome/CistromeDB/processed_data/data5_Result_new/Result_new/dataset1898/attic/1898_gene_score_5fold.txt	/liulab-iris/Cistrome/CistromeDB/processed_data/data5_Result_new/Result_new/dataset1898/attic/json	NA	1898_treat_rep1	36	35	30471715	23245752	0.7629	0.985	0.20136225	102805	26599	638	61	NA	NA	NA	102805	26599	638	0.117787993	0.068779462	0.36052242	0.452910125	0.9772
1899	Homo_sapiens	DNase	ca	GSM665803	GSE18927	iPS_DF_4.7	iPSC	None	/liulab-iris/Cistrome/CistromeDB/processed_data/data5_Result_new/Result_new/dataset1899	187M	/liulab-iris/Cistrome/CistromeDB/processed_data/data5_Result_new/Result_new/dataset1899/1899_sort_peaks.narrowPeak.bed	/liulab-iris/Cistrome/CistromeDB/processed_data/data5_Result_new/Result_new/dataset1899/1899_peaks.xls	/liulab-iris/Cistrome/CistromeDB/processed_data/data5_Result_new/Result_new/dataset1899/1899_treat.bw	/liulab-iris/Cistrome/CistromeDB/processed_data/data5_Result_new/Result_new/dataset1899/1899_sort_summits.bed	/liulab-iris/Cistrome/CistromeDB/processed_data/data5_Result_new/Result_new/dataset1899/attic/1899_gene_score.txt	/liulab-iris/Cistrome/CistromeDB/processed_data/data5_Result_new/Result_new/dataset1899/attic/1899_gene_score_5fold.txt	/liulab-iris/Cistrome/CistromeDB/processed_data/data5_Result_new/Result_new/dataset1899/attic/json	NA	1899_treat_rep1	36	35	29890600	23263302	0.7783	0.987	0.164112	92498	19678	113	63	NA	NA	NA	92498	19678	113	0.121762191	0.065497646	0.352362396	0.460377767	0.9718
1900	Homo_sapiens	DNase	ca	GSM665802	GSE18927	iPS_DF_6.9	iPSC	None	/liulab-iris/Cistrome/CistromeDB/processed_data/data5_Result_new/Result_new/dataset1900	207M	/liulab-iris/Cistrome/CistromeDB/processed_data/data5_Result_new/Result_new/dataset1900/1900_sort_peaks.narrowPeak.bed	/liulab-iris/Cistrome/CistromeDB/processed_data/data5_Result_new/Result_new/dataset1900/1900_peaks.xls	/liulab-iris/Cistrome/CistromeDB/processed_data/data5_Result_new/Result_new/dataset1900/1900_treat.bw	/liulab-iris/Cistrome/CistromeDB/processed_data/data5_Result_new/Result_new/dataset1900/1900_sort_summits.bed	/liulab-iris/Cistrome/CistromeDB/processed_data/data5_Result_new/Result_new/dataset1900/attic/1900_gene_score.txt	/liulab-iris/Cistrome/CistromeDB/processed_data/data5_Result_new/Result_new/dataset1900/attic/1900_gene_score_5fold.txt	/liulab-iris/Cistrome/CistromeDB/processed_data/data5_Result_new/Result_new/dataset1900/attic/json	NA	1900_treat_rep1	36	36	32581224	25232127	0.7744	0.986	0.18874525	99276	24002	227	58	NA	NA	NA	99276	24002	227	0.126033808	0.071065478	0.354338968	0.448561746	0.9716
3090	Homo_sapiens	DNase	ca	GSM701541	GSE18927	None	Monocyte	Blood	/liulab-iris/Cistrome/CistromeDB/processed_data/data5_Result_new/Result_new/dataset3090	186M	/liulab-iris/Cistrome/CistromeDB/processed_data/data5_Result_new/Result_new/dataset3090/3090_sort_peaks.narrowPeak.bed	/liulab-iris/Cistrome/CistromeDB/processed_data/data5_Result_new/Result_new/dataset3090/3090_peaks.xls	/liulab-iris/Cistrome/CistromeDB/processed_data/data5_Result_new/Result_new/dataset3090/3090_treat.bw	/liulab-iris/Cistrome/CistromeDB/processed_data/data5_Result_new/Result_new/dataset3090/3090_sort_summits.bed	/liulab-iris/Cistrome/CistromeDB/processed_data/data5_Result_new/Result_new/dataset3090/attic/3090_gene_score.txt	/liulab-iris/Cistrome/CistromeDB/processed_data/data5_Result_new/Result_new/dataset3090/attic/3090_gene_score_5fold.txt	/liulab-iris/Cistrome/CistromeDB/processed_data/data5_Result_new/Result_new/dataset3090/attic/json	NA	3090_treat_rep1	36	37	28540118	23264713	0.8152	0.966	0.33967725	78499	34686	4699	65	NA	NA	NA	78499	34686	4699	0.126999719	0.060278621	0.399765264	0.412956395	0.9764
3091	Homo_sapiens	DNase	ca	GSM701540	GSE18927	None	T_Lymphocyte	Blood	/liulab-iris/Cistrome/CistromeDB/processed_data/data5_Result_new/Result_new/dataset3091	162M	/liulab-iris/Cistrome/CistromeDB/processed_data/data5_Result_new/Result_new/dataset3091/3091_sort_peaks.narrowPeak.bed	/liulab-iris/Cistrome/CistromeDB/processed_data/data5_Result_new/Result_new/dataset3091/3091_peaks.xls	/liulab-iris/Cistrome/CistromeDB/processed_data/data5_Result_new/Result_new/dataset3091/3091_treat.bw	/liulab-iris/Cistrome/CistromeDB/processed_data/data5_Result_new/Result_new/dataset3091/3091_sort_summits.bed	/liulab-iris/Cistrome/CistromeDB/processed_data/data5_Result_new/Result_new/dataset3091/attic/3091_gene_score.txt	/liulab-iris/Cistrome/CistromeDB/processed_data/data5_Result_new/Result_new/dataset3091/attic/3091_gene_score_5fold.txt	/liulab-iris/Cistrome/CistromeDB/processed_data/data5_Result_new/Result_new/dataset3091/attic/json	NA	3091_treat_rep1	36	38	36357859	28030525	0.771	0.915	0.55358825	59874	31394	7110	53	NA	NA	NA	59874	31394	7110	0.177859593	0.094117647	0.381457619	0.346565141	0.9774
